Time,S1_V,S1_C,S1_P,S1_R,C_Tsur,C_I,C_V,C_R,W_Tamb,W_G,W_RH,C_Tsur_C2,C_I_C2,C_V_C2,C_R_C2,W_Tamb_C2,W_G_C2,W_RH_C2,C_Tsur_C3,C_I_C3,C_V_C3,C_R_C3,W_Tamb_C3,W_G_C3,W_RH_C3
2022-11-18 14:25:00,198.9,4.6,915.0,43.239130434782616,26.5,5.635,3.0,0.532608695652174,25.322499999999998,569.6675,32.71,28.0,5.64,3.0,0.5319148936170213,25.355,570.645,32.56,25.5,5.66,4.5,0.7947507741484368,25.322499999999998,569.6675,32.71
2022-11-18 14:30:00,193.5,4.5,871.0,43.0,27.0,5.653333333333333,3.0,0.5310894441221963,25.599999999999998,568.3616666666667,31.315,29.0,5.93,3.0,0.5059021922428331,25.48,578.45,32.495000000000005,26.333333333333332,5.646666666666667,5.0,0.8865319061828606,25.599999999999998,568.3616666666667,31.315
2022-11-19 09:40:00,197.8,4.3,851.0,46.00000000000001,24.0,5.753333333333334,3.6666666666666665,0.6368880106979621,20.735,485.68666666666667,48.89000000000001,26.0,5.8,3.0,0.5172413793103449,20.84,548.18,48.91,23.0,5.66,5.0,0.8834051241495712,20.735,485.68666666666667,48.89000000000001
2022-11-19 09:45:00,189.85000000000002,4.65,883.0,40.818917668825165,24.0,5.825,3.5,0.6031717012066382,21.05,566.245,47.7225,26.0,5.71,3.0,0.5253940455341506,21.14,570.6400000000001,47.57,23.5,5.825,6.0,1.0302137067059691,21.05,566.245,47.7225
2022-11-19 09:50:00,185.4,4.9,908.0,37.83673469387755,24.0,6.169999999999999,3.6666666666666665,0.5936731035477539,21.14,588.2199999999999,46.91833333333333,27.333333333333332,6.136666666666667,3.0,0.48894825827848604,21.14,588.2199999999999,46.91833333333333,24.333333333333332,6.053333333333334,5.333333333333333,0.881931244535943,21.14,588.2199999999999,46.91833333333333
2022-11-19 09:55:00,193.6,5.5,1065.0,35.199999999999996,24.5,6.605,4.0,0.6061301275580435,21.200000000000003,636.0674999999999,46.655,28.0,6.66,3.5,0.5238100610340821,21.200000000000003,636.0674999999999,46.655,24.5,6.65,6.0,0.9029927760577916,21.200000000000003,636.0674999999999,46.655
2022-11-19 10:00:00,193.0,2.4,463.0,80.41666666666667,24.5,6.1,4.0,0.6625825512686827,21.230000000000004,533.0475,46.135000000000005,28.0,6.56,3.0,0.4573170731707317,21.26,637.045,45.92,25.0,6.025,5.0,0.8367218833672188,21.230000000000004,533.0475,46.135000000000005
2022-11-19 10:15:00,197.9,5.1,1009.0,38.80392156862745,22.5,6.815,3.5,0.5174387782831635,20.7775,678.0574999999999,49.25,26.0,7.99,3.0,0.3754693366708385,20.84,756.18,49.22,23.0,6.98,6.0,0.8571218749672154,20.7775,678.0574999999999,49.25
2022-11-19 10:20:00,196.3,3.7,726.0,53.054054054054056,23.666666666666668,6.54,4.0,0.6122662547946388,21.38666666666667,638.67,46.879999999999995,28.0,6.81,3.0,0.4405286343612335,21.51,677.0799999999999,45.925,24.0,6.576666666666667,5.666666666666667,0.8602300389766183,21.38666666666667,638.67,46.879999999999995
2022-11-19 10:25:00,207.6,4.4,913.0,47.18181818181818,24.0,5.58,3.5,0.6537851176255166,21.480000000000004,534.5075,46.379999999999995,29.0,7.1,3.0,0.4225352112676057,21.51,672.195,46.165,24.0,7.04,7.000000000000001,0.994318181818182,21.51,672.195,46.165
2022-11-19 10:45:00,194.7,5.8,1129.0,33.56896551724138,26.5,7.355,4.0,0.5440893623317059,22.36,651.2025000000001,44.6425,29.5,7.34,3.0,0.4089933970412058,22.36,651.2025000000001,44.6425,25.5,7.275,6.0,0.824985824985825,22.36,651.2025000000001,44.6425
2022-11-19 10:50:00,202.3,5.5,1113.0,36.78181818181818,26.5,7.52,5.0,0.6648983200707339,22.424999999999997,707.8399999999999,44.212500000000006,30.0,7.545,3.5,0.46383965429409596,22.424999999999997,707.8399999999999,44.212500000000006,26.333333333333332,7.486666666666667,6.0,0.8014288808335207,22.403333333333332,710.2816666666666,44.43666666666667
2022-11-19 11:00:00,187.6,6.3,1182.0,29.77777777777778,28.0,7.7,4.0,0.5194805194805194,22.85,730.7850000000001,42.81,32.0,7.68,5.0,0.6510416666666667,22.85,730.7850000000001,42.81,27.0,7.553333333333334,7.000000000000001,0.9269688046354352,22.73,724.6033333333335,43.52333333333333
2022-11-19 11:05:00,188.6,6.3,1188.0,29.936507936507937,28.5,7.8149999999999995,4.5,0.5757750408519473,22.85,732.74,43.177499999999995,32.0,7.73,5.0,0.6468478510090994,22.85,732.74,43.177499999999995,27.0,7.735,7.000000000000001,0.9050080062579187,22.85,732.74,43.177499999999995
2022-11-19 11:10:00,195.2,6.1,1191.0,32.0,28.333333333333332,7.95,4.333333333333333,0.5449354704886181,22.929999999999996,744.4583333333334,42.76833333333334,32.333333333333336,7.8566666666666665,5.0,0.6364313235277184,22.929999999999996,744.4583333333334,42.76833333333334,28.0,7.863333333333333,7.000000000000001,0.8903870520231969,22.929999999999996,744.4583333333334,42.76833333333334
2022-11-19 11:20:00,188.3,6.0,1130.0,31.383333333333336,29.333333333333332,8.063333333333333,5.0,0.6200949711248213,23.48,757.4816666666666,42.36000000000001,33.0,7.886666666666667,4.666666666666667,0.5912055419752944,23.48,757.4816666666666,42.36000000000001,28.0,7.953333333333333,6.333333333333333,0.795924796338738,23.48,757.4816666666666,42.36000000000001
2022-11-19 11:25:00,186.2,6.4,1192.0,29.093749999999996,29.0,8.059999999999999,5.0,0.6203817733990148,23.92,764.475,40.7675,33.0,8.09,4.5,0.55673127611946,23.92,764.475,40.7675,28.5,8.004999999999999,7.000000000000001,0.8744701835864594,23.92,764.475,40.7675
2022-11-19 11:30:00,187.9,6.4,1203.0,29.359375,29.0,8.026666666666666,4.333333333333333,0.5399763145178615,24.05,774.73,39.373333333333335,32.666666666666664,7.996666666666666,4.333333333333333,0.5413603615332625,24.05,774.73,39.373333333333335,27.666666666666668,8.023333333333333,7.333333333333333,0.9136859740724477,24.05,774.73,39.373333333333335
2022-11-19 11:35:00,203.9,6.3,1285.0,32.36507936507937,28.0,7.9,4.0,0.5085324012385017,24.285000000000004,782.0550000000001,38.7825,32.0,8.46,4.0,0.4728132387706855,24.19,800.12,38.355,27.5,7.824999999999999,7.0,0.8899851641787127,24.285000000000004,782.0550000000001,38.7825
2022-11-19 11:40:00,201.3,6.4,1288.0,31.453125,28.0,8.333333333333334,4.333333333333333,0.5195039795236075,24.459999999999997,787.7516666666667,36.91,32.666666666666664,8.43,5.666666666666667,0.6722062488798239,24.459999999999997,787.7516666666667,36.91,27.333333333333332,8.326666666666666,7.333333333333333,0.8802784047685686,24.459999999999997,787.7516666666667,36.91
2022-11-19 11:45:00,200.4,6.4,1283.0,31.3125,28.5,8.21,5.0,0.6090215301350678,24.44,782.5425,36.8275,32.0,8.325,5.5,0.6610046231364606,24.44,782.5425,36.8275,27.5,8.274999999999999,7.000000000000001,0.8459217589915242,24.44,782.5425,36.8275
2022-11-19 11:55:00,193.7,6.6,1278.0,29.348484848484848,29.0,7.805,4.5,0.579665597138574,25.200000000000003,781.565,36.1875,35.0,7.88,4.5,0.569451097852683,25.200000000000003,781.565,36.1875,29.0,7.81,6.5,0.8348757531603199,25.200000000000003,781.565,36.1875
2022-11-19 12:00:00,193.9,6.5,1260.0,29.83076923076923,30.0,8.61,4.333333333333333,0.5031636679145409,25.456666666666667,815.7433333333333,36.32,35.0,8.62,6.333333333333333,0.7343074080688604,25.456666666666667,815.7433333333333,36.32,29.666666666666668,8.516666666666667,8.0,0.9382931148450696,25.456666666666667,815.7433333333333,36.32
2022-11-19 12:05:00,195.6,3.8,743.0,51.473684210526315,31.0,6.359999999999999,4.0,0.6295533734558125,25.81,600.425,36.1275,35.0,6.324999999999999,4.0,0.6281337883685786,25.81,600.425,36.1275,30.0,6.095000000000001,6.0,0.9844300158284072,25.81,600.425,36.1275
2022-11-19 12:10:00,201.1,6.4,1287.0,31.421874999999996,29.333333333333332,8.34,4.333333333333333,0.5200195717437097,25.638333333333332,793.9316666666667,35.586666666666666,35.0,8.36,5.666666666666667,0.6767888822259981,25.638333333333332,793.9316666666667,35.586666666666666,29.0,8.266666666666667,7.666666666666667,0.9253131984923212,25.638333333333332,793.9316666666667,35.586666666666666
2022-11-19 12:15:00,200.1,5.1,1021.0,39.23529411764706,28.5,8.175,4.0,0.4894301057887458,25.11,747.39,35.8225,34.0,8.185,5.5,0.6708517419890608,25.11,747.39,35.8225,27.5,8.1,7.000000000000001,0.8642449517120283,25.11,747.39,35.8225
2022-11-19 12:30:00,181.4,7.8,1415.0,23.25641025641026,28.0,8.453333333333333,4.666666666666667,0.5526206467324241,24.99,783.5183333333334,32.455,33.666666666666664,8.433333333333334,6.0,0.7117632326682991,24.99,783.5183333333334,32.455,27.333333333333332,8.506666666666666,7.333333333333333,0.8618683686485938,24.99,783.5183333333334,32.455
2022-11-19 12:35:00,179.5,7.6,1364.0,23.61842105263158,29.0,8.365,4.5,0.5373462427927426,25.355,799.63,31.0,35.5,8.285,5.5,0.6644511011778145,25.355,799.63,31.0,29.0,8.309999999999999,7.000000000000001,0.8423695825947939,25.355,799.63,31.0
2022-11-19 12:45:00,175.75,7.9,1388.0,22.246835443037973,30.0,8.515,4.5,0.5285842355699607,26.060000000000002,831.3675000000001,29.84,36.5,8.495000000000001,5.0,0.5885817224416268,26.060000000000002,831.3675000000001,29.84,29.5,8.52,6.5,0.7626520895785576,26.060000000000002,831.3675000000001,29.84
2022-11-19 12:50:00,175.6,7.5,1317.0,23.413333333333334,30.666666666666668,8.516666666666667,4.333333333333333,0.5100053369355624,26.33,811.1866666666666,30.115,37.0,8.483333333333333,6.0,0.7075631234710799,26.33,811.1866666666666,30.115,30.666666666666668,8.49,7.333333333333333,0.8633108265636033,26.33,811.1866666666666,30.115
2022-11-19 13:00:00,178.7,7.4,1322.0,24.148648648648646,30.333333333333332,8.003333333333334,4.0,0.49981112850346093,26.070000000000004,771.8016666666666,30.583333333333332,37.0,7.973333333333334,6.0,0.7525180877612897,26.070000000000004,771.8016666666666,30.583333333333332,30.0,7.913333333333333,7.000000000000001,0.8847325909506919,26.070000000000004,771.8016666666666,30.583333333333332
2022-11-19 13:05:00,178.5,7.1,1267.0,25.140845070422536,29.0,7.699999999999999,4.0,0.5195681511470985,25.810000000000002,740.0649999999999,30.97,36.0,7.66,4.5,0.5867814377636681,25.810000000000002,740.0649999999999,30.97,30.0,7.66,7.000000000000001,0.9138630398472919,25.810000000000002,740.0649999999999,30.97
2022-11-19 13:10:00,179.8,6.7,1205.0,26.83582089552239,30.333333333333332,7.406666666666666,4.0,0.54014697331065,25.945000000000004,720.3716666666666,30.541666666666668,36.0,7.436666666666667,5.0,0.6723622884793755,25.945000000000004,720.3716666666666,30.541666666666668,30.0,7.463333333333334,6.333333333333333,0.8483555401627685,25.945000000000004,720.3716666666666,30.541666666666668
2022-11-19 13:15:00,176.3,6.8,1199.0,25.926470588235297,30.0,7.375,4.5,0.6102157358072903,26.240000000000002,713.6975,30.5725,35.5,7.33,5.0,0.6821739478420782,26.240000000000002,713.6975,30.5725,29.5,7.365,6.0,0.8146943651689122,26.240000000000002,713.6975,30.5725
2022-11-19 13:20:00,178.3,6.8,1212.0,26.22058823529412,29.333333333333332,7.503333333333333,4.666666666666667,0.6217695061958181,26.11,727.2066666666666,30.21666666666667,35.666666666666664,7.57,5.0,0.660507351282302,26.11,727.2066666666666,30.21666666666667,29.333333333333332,7.456666666666667,6.333333333333333,0.8496491468627693,26.11,727.2066666666666,30.21666666666667
2022-11-19 13:35:00,179.5,6.4,1149.0,28.046875,28.5,7.154999999999999,4.0,0.5590564408693308,25.997500000000002,690.7525,29.137500000000003,34.5,7.105,4.5,0.6338279284454922,25.997500000000002,690.7525,29.137500000000003,28.0,7.1,6.0,0.8450704225352114,25.965,689.7750000000001,29.075000000000003
2022-11-19 13:40:00,178.4,6.5,1160.0,27.446153846153848,29.0,7.1066666666666665,4.0,0.5628742233336669,26.088333333333335,686.8449999999999,28.64833333333333,34.666666666666664,6.973333333333334,4.666666666666667,0.6687633726203943,26.088333333333335,686.8449999999999,28.64833333333333,28.666666666666668,7.026666666666666,6.0,0.8539181081536288,26.088333333333335,686.8449999999999,28.64833333333333
2022-11-19 13:45:00,178.4,6.4,1142.0,27.875,29.0,6.984999999999999,4.0,0.5726911976911977,26.09,682.94,28.927500000000002,34.0,6.97,5.0,0.7173601147776184,26.09,682.94,28.927500000000002,28.0,6.955,6.0,0.8628853828498171,26.09,682.94,28.927500000000002
2022-11-19 13:50:00,177.9,6.2,1103.0,28.693548387096776,29.333333333333332,6.866666666666667,4.0,0.5826713809148093,26.25,679.0333333333333,29.018333333333334,34.333333333333336,6.8500000000000005,4.333333333333333,0.6337709214829812,26.25,679.0333333333333,29.018333333333334,28.333333333333332,6.853333333333334,6.0,0.8756265043554546,26.25,679.0333333333333,29.018333333333334
2022-11-19 14:00:00,184.3,5.6,1032.0,32.91071428571429,28.666666666666668,6.296666666666667,3.3333333333333335,0.5292950184299968,26.169999999999998,625.6516666666666,28.794999999999998,34.0,6.263333333333333,3.0,0.4789995522813301,26.169999999999998,625.6516666666666,28.794999999999998,28.333333333333332,6.196666666666666,5.333333333333333,0.8622625872593868,26.169999999999998,625.6516666666666,28.794999999999998
2022-11-19 14:05:00,179.6,5.5,988.0,32.654545454545456,29.0,6.029999999999999,3.0,0.4975247524752475,26.36,600.9125,28.6175,35.0,6.06,3.0,0.4950495049504951,26.39,596.03,28.955,29.0,6.085,5.0,0.8220395767813334,26.36,600.9125,28.6175
2022-11-19 14:10:00,186.5,5.0,933.0,37.3,29.0,5.8133333333333335,3.6666666666666665,0.6288281047590303,26.37,583.335,29.465000000000003,33.333333333333336,5.686666666666667,3.0,0.5282029193881081,26.37,583.335,29.465000000000003,28.333333333333332,5.703333333333333,5.0,0.8773997757137778,26.37,583.335,29.465000000000003
2022-11-19 14:15:00,183.8,5.2,956.0,35.34615384615385,28.0,5.845,4.0,0.6843460953049993,26.119999999999997,580.405,29.5375,32.0,5.744999999999999,3.0,0.5222031001927017,26.119999999999997,580.405,29.5375,27.5,5.779999999999999,4.5,0.7790166878694904,26.119999999999997,580.405,29.5375
2022-11-19 14:20:00,185.3,5.1,945.0,36.333333333333336,28.0,5.863333333333333,3.3333333333333335,0.5669194300651678,26.05,584.3116666666666,29.545,32.333333333333336,5.82,3.3333333333333335,0.5715439416437593,26.05,584.3116666666666,29.545,27.333333333333332,5.793333333333333,4.666666666666667,0.8054497956644262,26.05,584.3116666666666,29.545
2022-11-19 14:25:00,184.9,4.4,814.0,42.02272727272727,28.0,5.88,3.0,0.5102409760528059,26.03,582.8499999999999,29.475,33.0,5.745,3.0,0.5224025363878297,26.03,582.8499999999999,29.475,28.0,5.795,5.0,0.8628185505243912,26.03,582.8499999999999,29.475
2022-11-20 10:10:00,208.0,4.4,915.0,47.272727272727266,24.333333333333332,5.3566666666666665,3.3333333333333335,0.6224715522732359,20.98,552.4150000000001,54.38666666666666,27.5,5.67,3.0,0.529233870967742,20.96,566.7375000000001,54.5275,24.0,5.386666666666667,4.333333333333333,0.7954498470189367,20.98,552.4150000000001,54.38666666666666
